party_primary,primary_date,state,district,first_name,last_name,middle_name,suffix,race,gender,result,opponent(s),incumbent,notes,party (if top-two system),race source if not Ballotpedia profile
DEMOCRATIC,6/2/2020,ID,1,STANIELA,NIKOLOVA,,,WHITE,WOMAN,LOST,YES,NO,,,
DEMOCRATIC,6/2/2020,ID,1,RUDY,SOTO,,,OTHER,MAN,WON,YES,NO,NATIVE AMERICAN,,
DEMOCRATIC,6/2/2020,ID,2,AARON,SWISHER,,,WHITE,MAN,WON,NO,NO,,,
REPUBLICAN,6/2/2020,ID,1,RUSS,FULCHER,,,WHITE,MAN,WON,YES,YES,,,
REPUBLICAN,6/2/2020,ID,1,NICHOLAS,JONES,,,WHITE,MAN,LOST,YES,NO,,,
REPUBLICAN,6/2/2020,ID,2,MICHAEL,SIMPSON,K,,WHITE,MAN,WON,YES,YES,,,
REPUBLICAN,6/2/2020,ID,2,KEVIN,RHOADES,,,WHITE,MAN,LOST,YES,NO,,,https://www.ballotready.org/people/kevin-rhoades
DEMOCRATIC,6/2/2020,IN,1,MELISSA,BOROM,A,,BLACK,WOMAN,LOST,YES,NO,,,https://www.ballotready.org/people/melissa-a-borom
DEMOCRATIC,6/2/2020,IN,1,CARRIE,CASTRO,,,HISPANIC,WOMAN,LOST,YES,NO,,,https://www.nwitimes.com/carrie-castro/article_f317d25c-4890-5526-beec-b03be9cc2e61.html
DEMOCRATIC,6/2/2020,IN,1,SCOTT,COSTELLO,,,WHITE,MAN,LOST,YES,NO,,,
DEMOCRATIC,6/2/2020,IN,1,ANTONIO,DAGGETT,,SR,BLACK,MAN,LOST,YES,NO,,,
DEMOCRATIC,6/2/2020,IN,1,RYAN,FARRAR,,,WHITE,MAN,LOST,YES,NO,,,
DEMOCRATIC,6/2/2020,IN,1,SABRINA,HAAKE,,,WHITE,WOMAN,LOST,YES,NO,,,
DEMOCRATIC,6/2/2020,IN,1,JOHN,HALL,,,NOT_FOUND,MAN,LOST,YES,NO,,,
DEMOCRATIC,6/2/2020,IN,1,JIM,HARPER,,,WHITE,MAN,LOST,YES,NO,,,
DEMOCRATIC,6/2/2020,IN,1,THOMAS,MCDERMOTT,,JR,WHITE,MAN,LOST,YES,NO,,,
DEMOCRATIC,6/2/2020,IN,1,WENDELL,MOSBY,,,BLACK,MAN,LOST,YES,NO,,,https://www.ballotready.org/people/wendell-mosby
DEMOCRATIC,6/2/2020,IN,1,FRANK,MRVAN,,,WHITE,MAN,WON,YES,NO,,,
DEMOCRATIC,6/2/2020,IN,1,MARA,REARDON,CANDELARIA,,HISPANIC,WOMAN,LOST,YES,NO,,,
DEMOCRATIC,6/2/2020,IN,1,JAYSON,REEVES,,,NOT_FOUND,MAN,LOST,YES,NO,,,
DEMOCRATIC,6/2/2020,IN,1,ANDREW,SYLWESTROWICZ,,,NOT_FOUND,MAN,LOST,YES,NO,,,
DEMOCRATIC,6/2/2020,IN,2,PAT,HACKETT,,,WHITE,WOMAN,WON,YES,NO,,,
DEMOCRATIC,6/2/2020,IN,2,ELLEN,MARKS,,,WHITE,WOMAN,LOST,YES,NO,,,
DEMOCRATIC,6/2/2020,IN,3,CHIP,COLDIRON,,,WHITE,MAN,WON,YES,NO,,,
DEMOCRATIC,6/2/2020,IN,3,JEAN-PAUL,KALONJI,,,BLACK,MAN,LOST,YES,NO,,,
DEMOCRATIC,6/2/2020,IN,3,CARLOS,MARCANO,,,HISPANIC,MAN,LOST,YES,NO,,,
DEMOCRATIC,6/2/2020,IN,3,TOMMY,SCHRADER,,,WHITE,MAN,LOST,YES,NO,,,https://www.wane.com/news/local-news/former-fort-wayne-mayoral-candidate-tommy-schrader-to-serve-jail-time/
DEMOCRATIC,6/2/2020,IN,4,BENJAMIN,FREDERICK,,,NOT_FOUND,MAN,LOST,YES,NO,,,
DEMOCRATIC,6/2/2020,IN,4,JOE,MACKEY,,,WHITE,MAN,WON,YES,NO,,,
DEMOCRATIC,6/2/2020,IN,4,HOWARD,POLLCHIK,,,NOT_FOUND,MAN,LOST,YES,NO,,,
DEMOCRATIC,6/2/2020,IN,4,VERONIKKA,ZIOL,,,WHITE,WOMAN,LOST,YES,NO,,,https://www.facebook.com/Ziol4IN4/
DEMOCRATIC,6/2/2020,IN,5,JENNIFER,CHRISTIE,,,WHITE,WOMAN,LOST,YES,NO,,,
DEMOCRATIC,6/2/2020,IN,5,CHRISTINA,HALE,,,WHITE,WOMAN,WON,YES,NO,,,
